NP,,Nombre,Estado,municipio,Colonia,Dirección,latitud,longitud
387,Aurora,Miscelánea Nayeli ,Oaxaca,Oaxaca de Juárez,Arenal,Calle Linderos Col.  El Arenal CP 68126,-96.7114154,17.043991318
388,Aurora,Yolanda Martínez ,Oaxaca,Oaxaca de Juárez,Unión,"Calle Libertad Col. Unión CP 68030 Oax, Oax",-96.7392009,17.068465067
389,Aurora,Miscelánea Rocío ,Oaxaca,Oaxaca de Juárez,Vicente Suárez,Segunda de Vicente Suárez Col. Vicente Suárez ,-96.7419811,17.071492743
390,Aurora,Tendajón La Fortaleza ,Oaxaca,Oaxaca de Juárez,Centro,Constitucion Col. Oaxaca Centro CP 68000,-96.721713333333,17.065341666667
391,Aurora,Mary Sol,Oaxaca,Oaxaca de Juárez,Centro,Calle Independencia Col. Centro CP 68000,-96.724281666667,17.061903333333
392,Aurora,Minisuper Fany ,Oaxaca,,Centro,Calle Porfirio Díaz 707 A Centro CP 6800,,
393,Aurora,Mini súper OK Llano,Oaxaca,Oaxaca de Juárez,Oaxaca,Calle Humbolt Col. Oaxaca CP 68000,-96.72032,17.067935
394,Aurora,Teresa de Jesús,Oaxaca,Oaxaca de Juárez,Centro,Bustamante esquina con rayón 113 Col. Centro ,-96.7265923,17.057216346
395,Aurora,Miscelánea Rayón y González,Oaxaca,Oaxaca de Juárez,Centro,Rayon Col. Centro CP 68000,-96.718878,17.056797503
396,Aurora,Miscelánea Don Pilo,Oaxaca,Oaxaca de Juárez,Infonavit F Magón ,Av Central Mz 71 Col.  Infonavit F Magon CP 68020,-96.6969937,17.083936431
